ANIO,MES,FECHA_REGISTRO,DEPARTAMENTO,MUNICIPIO,VEREDA_CORREGIMIENTO,PREDIO_BARRIO,AREA_PROTEGIDA_NACIONAL,LATITUD,LONGITUD,ELEVACION_MSNM,AREA_COPA_HA,AREA_SUPERFICIAL_HA,AREA_SUBTERRANEO_HA,AREA_MIXTO_HA,AREA_OTRO_TIPO_HA,CAUSA_QUEMA_FUERA_CONTROL,CAUSA_DESCUIDO_NEGLIGENCIA,CAUSA_INTENCIONAL,CAUSA_ACCIDENTAL,CAUSA_REACTIVACION_FOCOS,CAUSA_OTRA,COB_BOSQUE_NATURAL_DENSO,COB_BOSQUE_INTERVENIDO,COB_BOSQUE_PLANTADO,COB_BOSQUE_SECO,COB_CULTIVOS,COB_PARAMOS,COB_SABANAS_PASTIZALES,COB_PASTOS_MANEJADOS,COB_RASTROJO,COB_VEGETACION_SECA,COB_COBERTURA_SIN_DETERMINAR,AREA_TOTAL_HA,ENTIDAD_REPORTA,FUENTE_HOJA,DEPARTAMENTO_NORM,MES_NORM,MUNICIPIO_NORM,LATITUD_DEC,LONGITUD_DEC,COORDENADAS_VALIDAS,ELEVACION_MSNM_NUM,AREA_COPA_HA_NUM,AREA_COPA_HA_TEXTO_RESIDUAL,AREA_SUPERFICIAL_HA_NUM,AREA_SUPERFICIAL_HA_TEXTO_RESIDUAL,AREA_SUBTERRANEO_HA_NUM,AREA_SUBTERRANEO_HA_TEXTO_RESIDUAL,AREA_MIXTO_HA_NUM,AREA_MIXTO_HA_TEXTO_RESIDUAL,AREA_OTRO_TIPO_HA_NUM,AREA_OTRO_TIPO_HA_TEXTO_RESIDUAL,COB_BOSQUE_NATURAL_DENSO_NUM,COB_BOSQUE_NATURAL_DENSO_TEXTO_RESIDUAL,COB_BOSQUE_INTERVENIDO_NUM,COB_BOSQUE_INTERVENIDO_TEXTO_RESIDUAL,COB_BOSQUE_PLANTADO_NUM,COB_BOSQUE_PLANTADO_TEXTO_RESIDUAL,COB_BOSQUE_SECO_NUM,COB_BOSQUE_SECO_TEXTO_RESIDUAL,COB_CULTIVOS_NUM,COB_CULTIVOS_TEXTO_RESIDUAL,COB_PARAMOS_NUM,COB_PARAMOS_TEXTO_RESIDUAL,COB_SABANAS_PASTIZALES_NUM,COB_SABANAS_PASTIZALES_TEXTO_RESIDUAL,COB_PASTOS_MANEJADOS_NUM,COB_PASTOS_MANEJADOS_TEXTO_RESIDUAL,COB_RASTROJO_NUM,COB_RASTROJO_TEXTO_RESIDUAL,COB_VEGETACION_SECA_NUM,COB_VEGETACION_SECA_TEXTO_RESIDUAL,COB_COBERTURA_SIN_DETERMINAR_NUM,COB_COBERTURA_SIN_DETERMINAR_TEXTO_RESIDUAL,AREA_TOTAL_HA_NUM,AREA_TOTAL_HA_TEXTO_RESIDUAL,REGISTRO_INCOMPLETO,ANIO_FECHA_INCONSISTENTE,AREA_TOTAL_ATIPICO
2023,Noviembre,2023-11-23,META,MAPIRIPÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BD_ICV_2023,Meta,Noviembre,MAPIRIPÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,False,False,False
2023,Enero,2023-01-02,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BD_ICV_2023,Meta,Enero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,False,False,False
2023,Enero,2023-01-05,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,BD_ICV_2023,Meta,Enero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,40.0,False,False,False,True
2023,Enero,2023-01-19,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,BD_ICV_2023,Meta,Enero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,10.0,False,False,False,False
2023,Enero,2023-01-20,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,BD_ICV_2023,Meta,Enero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,200.0,False,False,False,True
2023,Enero,2023-01-25,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,BD_ICV_2023,Meta,Enero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,251.0,False,False,False,True
2023,Febrero,2023-02-05,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,200.0,False,False,False,True
2023,Febrero,2023-02-06,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,350.0,False,False,False,True
2023,Febrero,2023-02-19,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,20.0,False,False,False,True
2023,Febrero,2023-02-23,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,76.0,False,False,False,True
2023,Febrero,2023-02-27,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,200.0,False,False,False,True
2023,Febrero,2023-02-28,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,BD_ICV_2023,Meta,Febrero,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,20.0,False,False,False,True
2023,Marzo,2023-03-05,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,BD_ICV_2023,Meta,Marzo,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,50.0,False,False,False,True
2023,Diciembre,2023-12-06,META,PUERTO GAITÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,BD_ICV_2023,Meta,Diciembre,PUERTO GAITÁN,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,5.0,False,False,False,False
2023,Enero,2023-01-17,META,PUERTO LLERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,BD_ICV_2023,Meta,Enero,PUERTO LLERAS,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,3.0,False,False,False,False
2023,Enero,2023-01-02,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,12.0,False,False,False,False
2023,Enero,2023-01-04,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,10.0,False,False,False,False
2023,Enero,2023-01-16,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,100.0,False,False,False,True
2023,Enero,2023-01-20,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,40.0,False,False,False,True
2023,Enero,2023-01-23,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1000.0,False,False,False,True
2023,Enero,2023-01-24,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,3.0,False,False,False,False
2023,Enero,2023-01-26,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,100.0,False,False,False,True
2023,Enero,2023-01-27,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,2.0,False,False,False,False
2023,Enero,2023-01-27,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,BD_ICV_2023,Meta,Enero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.5,False,False,False,False
2023,Febrero,2023-02-03,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,False,False,False
2023,Febrero,2023-02-12,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,5.0,False,False,False,False
2023,Febrero,2023-02-13,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,2.0,False,False,False,False
2023,Febrero,2023-02-17,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,2.0,False,False,False,False
2023,Febrero,2023-02-18,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,20.0,False,False,False,True
2023,Febrero,2023-02-18,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,10.0,False,False,False,False
2023,Febrero,2023-02-19,META,PUERTO LÓPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,BD_ICV_2023,Meta,Febrero,PUERTO LÓPEZ,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,600.0,False,False,False,True
